ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Transcriptions,AlternativeValues
Portuguese-6-480-1,,Portuguese,6-480,calças,calças,k a ɫ s ɐ ʃ,,,,false,^calças$,Portuguese,,
Portuguese-6-490-1,,Portuguese,6-490,meia; peúga,meia,m ɐi ɐ,,,,false,^meia$,Portuguese,,
Portuguese-6-490-2,,Portuguese,6-490,meia; peúga,peúga,p ɨ u ɡ ɐ,,,,false,^peúga$,Portuguese,,
Portuguese-6-510-1,,Portuguese,6-510,sapato,sapato,s ɐ p a t u,,,,false,^sapato$,Portuguese,,
Portuguese-6-520-1,,Portuguese,6-520,bota,bota,b ɔ t ɐ,,,,false,^bota$,Portuguese,,
Portuguese-6-540-1,,Portuguese,6-540,sapateiro,sapateiro,s ɐ p ɐ t ɐi ɾ u,,,,false,^sapateiro$,Portuguese,,
Portuguese-6-550-1,,Portuguese,6-550,chapéu; gorro; boina,chapéu,ʃ ɐ p ɛu,,,,false,^chapéu$,Portuguese,,
Portuguese-6-550-2,,Portuguese,6-550,chapéu; gorro; boina,gorro,ɡ ɔ ʁ u,,,,false,^gorro$,Portuguese,,
Portuguese-6-550-3,,Portuguese,6-550,chapéu; gorro; boina,boina,b oi n ɐ,,,,false,^boina$,Portuguese,,
Portuguese-6-570-1,,Portuguese,6-570,cinto,cinto,s ĩ t u,,,,false,^cinto$,Portuguese,,
Portuguese-6-580-1,,Portuguese,6-580,luva,luva,l u v ɐ,,,,false,^luva$,Portuguese,,
Portuguese-6-590-1,,Portuguese,6-590,véu,véu,v ɛu,,,,false,^véu$,Portuguese,,
Portuguese-6-610-1,,Portuguese,6-610,bolso,bolso,b ɔ ɫ s u,,,,false,^bolso$,Portuguese,,
Portuguese-6-620-1,,Portuguese,6-620,botão,botão,b u t ɐ̃ũ,,,,false,^botão$,Portuguese,,
Portuguese-6-630-1,,Portuguese,6-630,alfinete,alfinete,a ɫ f i n ɛ t ɨ,,,,false,^alfinete$,Portuguese,,
Portuguese-6-710-1,,Portuguese,6-710,adorno; enfeite,adorno,ɐ d ɔ ɾ n u,,,,false,^adorno$,Portuguese,,
Portuguese-6-710-2,,Portuguese,6-710,adorno; enfeite,enfeite,ẽ f ɐi t ɨ,,,,false,^enfeite$,Portuguese,,
Portuguese-6-720-1,,Portuguese,6-720,jóia,jóia,ʒ ɔi ɐ,,,,false,^jóia$,Portuguese,,
Portuguese-6-730-1,,Portuguese,6-730,anel,anel,ɐ n ɛ ɫ,,,,false,^anel$,Portuguese,,
Portuguese-6-740-1,,Portuguese,6-740,bracelete; pulseira,bracelete,b ɾ ɐ s ɨ l ɛ t ɨ,,,,false,^bracelete$,Portuguese,,
Portuguese-6-740-2,,Portuguese,6-740,bracelete; pulseira,pulseira,p u ɫ s ɐi ɾ ɐ,,,,false,^pulseira$,Portuguese,,
Portuguese-6-750-1,,Portuguese,6-750,colar,colar,k u l a ɾ,,,,false,^colar$,Portuguese,,
Portuguese-6-760-1,,Portuguese,6-760,contas; miçanga,contas,k õ t ɐ ʃ,,,,false,^contas$,Portuguese,,
Portuguese-6-760-2,,Portuguese,6-760,contas; miçanga,miçanga,m i s ɐ̃ ɡ ɐ,,,,false,^miçanga$,Portuguese,,
Portuguese-6-770-1,,Portuguese,6-770,brinco,brinco,b ɾ ĩ k u,,,,false,^brinco$,Portuguese,,
Portuguese-6-780-1,,Portuguese,6-780,fita para cabeça,fita_para_cabeça,f i t ɐ + p ɐ ɾ ɐ + k ɐ b ɛ s ɐ,,,,false,^fita_para_cabeça$,Portuguese,,
Portuguese-6-790-1,,Portuguese,6-790,tatuagem,tatuagem,t ɐ t w a ʒ ɐ̃ĩ,,,,false,^tatuagem$,Portuguese,,
Portuguese-6-810-1,,Portuguese,6-810,lenço; trapo,lenço,l ẽ s u,,,,false,^lenço$,Portuguese,,
Portuguese-6-810-2,,Portuguese,6-810,lenço; trapo,trapo,t ɾ a p u,,,,false,^trapo$,Portuguese,,
Portuguese-6-820-1,,Portuguese,6-820,toalha,toalha,t u a ʎ ɐ,,,,false,^toalha$,Portuguese,,
Portuguese-6-910-1,,Portuguese,6-910,pente,pente,p ẽ t ɨ,,,,false,^pente$,Portuguese,,
Portuguese-6-920-1,,Portuguese,6-920,escova,escova,ʃ k ɔ v ɐ,,,,false,^escova$,Portuguese,,
Portuguese-6-921-1,,Portuguese,6-921,trança,trança,t ɾ ɐ̃ s ɐ,,,,false,^trança$,Portuguese,,
Portuguese-6-930-1,,Portuguese,6-930,navalha de barba,navalha_de_barba,n ɐ v a ʎ ɐ + d ɨ + b a ɾ b ɐ,,,,false,^navalha_de_barba$,Portuguese,,
Portuguese-6-940-1,,Portuguese,6-940,ungüento,ungüento,ũ ɡ ẽ t u,,,,false,^ungüento$,Portuguese,,
Portuguese-6-950-1,,Portuguese,6-950,sabão,sabão,s ɐ b ɐ̃ũ,,,,false,^sabão$,Portuguese,,
Portuguese-6-960-1,,Portuguese,6-960,espelho,espelho,ʃ p ɐ ʎ u,,,,false,^espelho$,Portuguese,,
Portuguese-7-110-1,,Portuguese,7-110,morar; residir,morar,m u ɾ a ɾ,,,,false,^morar$,Portuguese,,
Portuguese-7-110-2,,Portuguese,7-110,morar; residir,residir,ʁ ɨ z i d i ɾ,,,,false,^residir$,Portuguese,,
Portuguese-7-120-1,,Portuguese,7-120,casa,casa,k a z ɐ,,,,false,^casa$,Portuguese,,
Portuguese-7-130-1,,Portuguese,7-130,cabana,cabana,k ɐ b ɐ n ɐ,,,,false,^cabana$,Portuguese,,
Portuguese-7-131-1,,Portuguese,7-131,casa de jardim,casa_de_jardim,k a z ɐ + d ɨ + ʒ ɐ ɾ d ĩ,,,,false,^casa_de_jardim$,Portuguese,,
Portuguese-7-140-1,,Portuguese,7-140,tenda; barraca,tenda,t ẽ d ɐ,,,,false,^tenda$,Portuguese,,
Portuguese-7-140-2,,Portuguese,7-140,tenda; barraca,barraca,b ɐ ʁ a k ɐ,,,,false,^barraca$,Portuguese,,
Portuguese-7-150-1,,Portuguese,7-150,quintal; pátio,quintal,k ĩ t a ɫ,,,,false,^quintal$,Portuguese,,
Portuguese-7-150-2,,Portuguese,7-150,quintal; pátio,pátio,p a t j u,,,,false,^pátio$,Portuguese,,
Portuguese-7-160-1,,Portuguese,7-160,casa de homens,casa_de_homens,k a z ɐ + d ɨ + ɔ m ẽ ʃ,,,,false,^casa_de_homens$,Portuguese,,
Portuguese-7-170-1,,Portuguese,7-170,cozinha,cozinha,k u z i ɲ ɐ,,,,false,^cozinha$,Portuguese,,
Portuguese-7-180-1,,Portuguese,7-180,casa de reunião,casa_de_reunião,k a z ɐ + d ɨ + ʁ eu n i ɐ̃ũ,,,,false,^casa_de_reunião$,Portuguese,,
