Grapheme	IPA	Note
^angustia$	a n ɡ u s t j a
^preocupación$	p ɾ e o k u p a s j o n
^lamentar$	l a m e n t a ɾ
^sentir$	s e n t i ɾ
^compasión$	k o m p a s j o n
^lástima$	l a s t i m a
^llorar$	ɟ ʝ o ɾ a ɾ
^lágrima$	l a ɣ ɾ i m a
^gemir$	x e m i ɾ
^odiar$	o ð j a ɾ
^enojo$	e n o x o
^ira$	i ɾ a
^rabia$	r a β j a
^envidia$	e m b i ð j a
^celos$	s e l o s
^vergüenza$	b ɛ ɾ ɣ w e n s a
^orgulloso$	o ɾ ɣ u ʝ o s o
^osar$	o s a ɾ
^atreverse$	a t ɾ e β ɛ ɾ s e
^valiente$	b a l j e n t e
^miedo$	m j e ð o
^susto$	s u s t o
^peligro$	p e l i ɣ ɾ o
^anhelar$	a n e l a ɾ
^desear$	d e s e a ɾ
^escoger$	ɛ s k o x ɛ ɾ
^elegir$	e l e x i ɾ
^esperanza$	ɛ s p ɛ ɾ a n s a
^fiel$	f j ɛ l
^verdadero$	b ɛ ɾ ð a ð ɛ ɾ o
^mentir$	m e n t i ɾ
^engaɲo$	e n ɡ a ɲ o
^perdonar$	p ɛ ɾ ð o n a ɾ
^bueno$	b w e n o
^malo$	m a l o
^correcto$	k o r e k t o
^incorrecto$	i n k o r e k t o
^falso$	f a l s o
^culpa$	k u l p a
^equivocación$	e k i β o k a s j o n
^error$	ɛ r o ɾ
^culpa$	k u l p a
^censura$	s e n s u ɾ a
^exaltar$	ɛ k s a l t a ɾ
^alabar$	a l a β a ɾ
^hermoso$	ɛ ɾ m o s o
^bonito$	b o n i t o
^lindo$	l i n d o
^feo$	f e o
^codicioso$	k o ð i s j o s o
^voraz$	b o ɾ a s
^hábil$	a β i l
^capaz$	k a p a s
^mente$	m e n t e
^pensamiento$	p e n s a m j e n t o
^pensar$	p e n s a ɾ
^creer$	k ɾ e ɛ ɾ
^suponer$	s u p o n ɛ ɾ
^creer$	k ɾ e ɛ ɾ
^entender$	e n t e n d ɛ ɾ
^comprender$	k o m p ɾ e n d ɛ ɾ
^saber$	s a β ɛ ɾ
^conocer$	k o n o s ɛ ɾ
^adivinar$	a ð i β i n a ɾ
^acertar$	a s ɛ ɾ t a ɾ
^imitar$	i m i t a ɾ
^parecer$	p a ɾ e s ɛ ɾ
^idea$	i ð e a
^concepto$	k o n s e p t o
^sabio$	s a β j o
^necio$	n e s j o
^estúpido$	ɛ s t u p i ð o
^tonto$	t o n t o
^loco$	l o k o
^insano$	i n s a n o
^aprender$	a p ɾ e n d ɛ ɾ
^estudiar$	ɛ s t u ð j a ɾ
^enseɲar$	e n s e ɲ a ɾ
^alumno$	a l u m n o
^profesor$	p ɾ o f e s o ɾ
^maestro$	m a ɛ s t ɾ o
^escuela$	ɛ s k w e l a
^colegio$	k o l e x j o
^recordar$	r e k o ɾ ð a ɾ
^acordarse$	a k o ɾ ð a ɾ s e
^olvidar$	o l β i ð a ɾ
^claro$	k l a ɾ o
^evidente$	e β i ð e n t e
^obscuro$	o β s k u ɾ o
^secreto$	s e k ɾ ɛ t o
^seguro$	s e ɣ u ɾ o
^cierto$	s j ɛ ɾ t o
^explicar$	ɛ k s p l i k a ɾ
^propósito$	p ɾ o p o s i t o
^intención$	i n t e n s j o n
^causar$	k a u s a ɾ
^dudar$	d u ð a ɾ
^sospechar$	s o s p e tʃ a ɾ
^traicionar$	t ɾ a i s j o n a ɾ
^necesidad$	n e s e s i ð a ð
^fácil$	f a s i l
^difícil$	d i f i s i l
^tratar$	t ɾ a t a ɾ
^probar$	p ɾ o β a ɾ
^modo$	m o ð o
^manera$	m a n ɛ ɾ a
^y$	i
^porque$	p o ɾ k e
^si$	s i
^o$	o
^sí$	s i
^afirmativo$	a f i ɾ m a t i β o
^no$	n o
^negativo$	n e ɣ a t i β o
^cómo$	k o m o
^cuántos$	k w a n t o s
^cuánto$	k w a n t o
^qué$	k e
^cuándo$	k w a n d o
^dónde$	d o n d e
^cuál$	k w a l
^quién$	k j e n
^por_qué$	p o ɾ + k e
^voz$	b o s
^cantar$	k a n t a ɾ
^gritar$	ɡ ɾ i t a ɾ
^cuchichear$	k u tʃ i tʃ e a ɾ
^barbotar$	b a ɾ β o t a ɾ
^hablar_entre_dientes$	a β l a ɾ + e n t ɾ e + ð j e n t e s
^silbar$	s i l β a ɾ
^chiflar$	tʃ i f l a ɾ
^chillar$	tʃ i ʝ a ɾ
^aullar$	a u ʝ a ɾ
^hablar$	a β l a ɾ
^tartamudear$	t a ɾ t a m u ð e a ɾ
^balbucear$	b a l β u s e a ɾ
^decir$	d e s i ɾ
^narrar$	n a r a ɾ
^contar$	k o n t a ɾ
^pronunciar_un_discurso$	p ɾ o n u n s j a ɾ + u n + d i s k u ɾ s o
^callarse$	k a ʝ a ɾ s e
^lengua$	l e n ɡ w a
^idioma$	i ð j o m a
^palabra$	p a l a β ɾ a
^nombre$	n o m b ɾ e
^preguntar$	p ɾ e ɣ u n t a ɾ
^contestar$	k o n t ɛ s t a ɾ
^responder$	r ɛ s p o n d ɛ ɾ
^admitir$	a ð m i t i ɾ
^confesar$	k o m f e s a ɾ
^reconocer$	r e k o n o s ɛ ɾ
^negar$	n e ɣ a ɾ
^pedir$	p e ð i ɾ
^prometer$	p ɾ o m ɛ t ɛ ɾ
^rehusar$	r e u s a ɾ
^prohibir$	p ɾ o i β i ɾ
^reprender$	r e p ɾ e n d ɛ ɾ
^llamar$	ɟ ʝ a m a ɾ
^llamarse$	ɟ ʝ a m a ɾ s e
^anunciar$	a n u n s j a ɾ
^avisar$	a β i s a ɾ
^amenazar$	a m e n a s a ɾ
^jactarse$	x a k t a ɾ s e
^escribir$	ɛ s k ɾ i β i ɾ
^leer$	l e ɛ ɾ
^papel$	p a p ɛ l
^pluma$	p l u m a
^libro$	l i β ɾ o
^poeta$	p o ɛ t a
^flauta$	f l a u t a
^bombo$	b o m b o
^tambor$	t a m b o ɾ
^trompeta$	t ɾ o m p ɛ t a
^trompa$	t ɾ o m p a
^corneta$	k o ɾ n ɛ t a
^matraca$	m a t ɾ a k a
^cascabel$	k a s k a β ɛ l
^país$	p a i s
^patria$	p a t ɾ j a
^ciudad$	s j u ð a ð
^pueblo$	p w e β l o
^límite$	l i m i t e
^frontera$	f ɾ o n t ɛ ɾ a
^pueblo$	p w e β l o
^gente$	x e n t e
^tribu$	t ɾ i β u
^clan$	k l a n
^jefe$	x e f e
^cacique$	k a s i k e
^bastón$	b a s t o n
^bordón$	b o ɾ ð o n
^gobernar$	ɡ o β ɛ ɾ n a ɾ
^rey$	r e i
^gobernante$	ɡ o β ɛ ɾ n a n t e
^reina$	r e i n a
^noble$	n o β l e
^ciudadano$	s j u ð a ð a n o
^súbdito$	s u β ð i t o
^amo$	a m o
^dueɲo$	d w e ɲ o
^patrón$	p a t ɾ o n
^esclavo$	ɛ s k l a β o
^sirviente$	s i ɾ β j e n t e
^criado$	k ɾ j a ð o
^hombre_libre$	o m b ɾ e + l i β ɾ e
^mandar$	m a n d a ɾ
^ordenar$	o ɾ ð e n a ɾ
^obedecer$	o β e ð e s ɛ ɾ
^permitir$	p ɛ ɾ m i t i ɾ
^dejar$	d e x a ɾ
^amigo$	a m i ɣ o
^compaɲero$	k o m p a ɲ ɛ ɾ o
^enemigo$	e n e m i ɣ o
^vecino$	b e s i n o
^extranjero$	ɛ k s t ɾ a n x ɛ ɾ o
^forastero$	f o ɾ a s t ɛ ɾ o
^huésped$	w ɛ s p ɛ ð
^invitado$	i m b i t a ð o
^huésped$	w ɛ s p ɛ ð
^hospedero$	o s p e ð ɛ ɾ o
^ayudar$	a ʝ u ð a ɾ
^impedir$	i m p e ð i ɾ
^estorbar$	ɛ s t o ɾ β a ɾ
^costumbre$	k o s t u m b ɾ e
^hábito$	a β i t o
^lucha$	l u tʃ a
^pleito$	p l e i t o
^disputa$	d i s p u t a
^conspiración$	k o n s p i ɾ a s j o n
^encontrar$	e n k o n t ɾ a ɾ
^prostituta$	p ɾ o s t i t u t a
^persona$	p ɛ ɾ s o n a
^hombre$	o m b ɾ e
^mujer$	m u x ɛ ɾ
