coco	ˈkoko
cítrico	
plátano	
banano	baˈnano
baniano	
camote	kaˈmote
batata	baˈtata
ɲame	
mandioca	man̩ˈdjoka
yuca	ˈɟuka
calabaza	kalaˈβaθa
zapallo	θaˈpaʎo
calabaza	kalaˈβaθa
calabazo	kalaˈβaθo
bambú	
caɲa de azúcar	
barbasco	
ortiga	orˈtiɣa
hongo	ˈoŋgo
seta	ˈseta
hacer	aˈθer
trabajar	traβaˈxar
encorvar	eŋkorˈβar
doblar	doˈβlar
doblar	doˈβlar
amarrar	amaˈrrar
atar	aˈtar
desatar	desaˈtar
cadena	kaˈðena
cuerda	ˈkwerða
soga	ˈsoɣa
nudo	ˈnuðo
golpear	golpeˈar
machacar con el puɲo	
cortar	korˈtar
tumbar	tumˈbar
talar	taˈlar
tajar	taˈxar
picar	piˈkar
apuɲalar	
tijeras	
hacha	ˈaʧa
azuela	aˈθwela
quebrar	keˈβrar
quebrado	keˈβraðo
hender	en̩ˈder
partir	parˈtir
romper	rromˈper
rasgar	rrasˈɣar
desollar	desoˈʎar
frotar	froˈtar
enjugar	eŋxuˈɣar
alargar	alarˈɣar
estirar	estiˈrar
tender	ten̩ˈder
tirar	tiˈrar
jalar	xaˈlar
extender	esten̩ˈder
esparcir	esparˈθir
colgar	kolˈɣar
apretar	apreˈtar
oprimir	opriˈmir
estrujar	estruˈxar
exprimir	espriˈmir
vaciar	baˈθiar
verter	berˈter
derramar	derraˈmar
lavar	laˈβar
barrer	baˈrrer
escoba	esˈkoβa
herramienta	erraˈmjen̩ta
carpintero	karpin̩ˈtero, -a
edificar	eðifiˈkar
construir	ko<span class="super">n</span>struˈir/ko<span class="super">n</span>sˈtrwir
perforar	perfoˈrar
ahuecar	aweˈkar
serrucho	seˈrruʧo
sierra	ˈsjerra
martillo	marˈtiʎo
clavo	ˈklaβo
adhesivo	aðeˈsiβo
herrero	eˈrrero
fragua	ˈfraɣwa
yunque	ˈɟuŋke
fundir	fun̩ˈdir
oro	ˈoro
plata	ˈplata
cobre	ˈkoβre
bronce	ˈbroṇθe
hierro	ˈɟerro
plomo	ˈplomo
estaɲo	
alfarero	alfaˈrero, -a
moldear	mol̩deˈar
formar	forˈmar
barro	ˈbarro
arcilla	arˈθiʎa
vidrio	ˈbiðrjo
tejer	teˈxer
trenzar	treṇˈθar
cesto	ˈθesto
canasto	kaˈnasto
canasta	kaˈnasta
estera	esˈtera
tapete	taˈpete
alfombra	alˈfombra
bolsa de malla	
abanico	aβaˈniko
abanicar	aβaniˈkar
aventar	aβen̩ˈtar
ventilar	ben̩tiˈlar
esculpir	eskulˈpir
escultor	eskul̩ˈtor(a)
estatua	esˈtatwa
escoplo	esˈkoplo
cincel	θiṇˈθel
pintura	pin̩ˈtura
pintar	pin̩ˈtar
mover	moˈβer
volcar	bolˈkar
dar vuelta	
dar vuelta	
voltear	bol̩teˈar
enrollar	enrroˈʎar
envolver	embolˈβer
rodar	rroˈðar
arrollar	arroˈʎar
enrollar	enrroˈʎar
dejar caer	
torcer	torˈθer
ascender	asθen̩ˈder
subir	suˈβir
levantar	leβan̩ˈtar
caer	kaˈer
escurrir	eskuˈrrir
echar	eˈʧar
tirar	tiˈrar
coger	koˈxer
sacudir	sakuˈðir
fluir	fluˈir
correr	koˈrrer
hundir	un̩ˈdir
flotar	floˈtar
nadar	naˈðar
zambullirse	
salpicar	salpiˈkar
navegar	naβeˈɣar
volar	boˈlar
soplar	soˈplar
gatear	gateˈar
arrodillarse	arroðiˈʎarse
agacharse	
ponerse en cuclillas	
resbalar	rresβaˈlar
saltar	sal̩ˈtar
brincar	briŋˈkar
patear	pateˈar
bailar	bai̯ˈlar
caminar	kamiˈnar
andar	an̩ˈdar
lisiar	liˈsjar
correr	koˈrrer
ir	ir
subir	suˈβir
trepar	treˈpar
bajar	baˈxar
descender	desθen̩ˈder
salir	saˈlir
venir	beˈnir
volver	bolˈβer
regresar	rreɣreˈsar
irse	
marcharse	
partir	parˈtir
desaparecer	desapareˈθer
huir	uˈir
seguir	seˈɣir
perseguir	perseˈɣir
llegar	ʎeˈɣar
alcanzar	alkaṇˈθar
acercarse	
aproximarse	
entrar	en̩ˈtrar
llevar	ʎeˈβar
cargar	karˈɣar
llevar en la mano	
llevar a la espalda	
en el hombro	
llevar sobre la cabeza	
llevar bajo el brazo	
traer	traˈer
enviar	embiˈar
mandar	man̩ˈdar
guiar	giˈar
conducir	kon̩duˈθir
conducir	kon̩duˈθir
montar	mon̩ˈtar
a	a
empujar	empuˈxar
carretera	karreˈtera
camino	kaˈmino
senda	ˈsen̩da
puente	ˈpwen̩te
carro	ˈkarro
carretón	
rueda	ˈrrweða
eje	ˈexe
yugo	ˈɟuɣo
buque	ˈbuke
barco	ˈbarko
bote	ˈbote
canoa	kaˈnoa
batanga	
balsa	ˈbalsa
remo	ˈrremo
remo corto	
remar	rreˈmar
timón	
mástil	
ancla	ˈaŋkla
puerto	ˈpwerto
desembarcar	desemβarˈkar
tener	teˈner
poseer	poˈser/poseˈer
tener	teˈner
tomar	toˈmar
agarrar	aɣaˈrrar
empuɲar	
asir	aˈsir
tener	teˈner
apoyar	apoˈɟar
obtener	oβteˈner
conseguir	konseˈɣir
conservar	konserˈβar
retener	rreteˈner
guardar	gwarˈðar
cosa	ˈkosa
dar	dar
devolver	deβolˈβer
conservar	konserˈβar
proteger	proteˈxer
salvar	salˈβar
rescatar	rreskaˈtar
destruir	destruˈir
daɲar	
herir	eˈrir
buscar	busˈkar
encontrar	eŋkon̩ˈtrar
hallar	aˈʎar
perder	perˈðer
soltar	sol̩ˈtar
largar	larˈɣar
dinero	diˈnero
moneda	moˈneða
rico	ˈrriko, -a
pobre	ˈpoβre
mendigo	men̩ˈdiɣo, -a
avaro	aˈβaro, -a
mezquino	meθˈkino, -a
prestar	presˈtar
pedir prestado	
deber	deˈβer
deuda	ˈdeu̯ða
pagar	paˈɣar
calcul	
cuenta	ˈkwen̩ta
impuesto	imˈpwesto
tributo	triˈβuto
alquilar	alkiˈlar
emplear	empleˈar
salario	saˈlarjo
sueldo	ˈswel̩do
ganar	gaˈnar
comprar	komˈprar
vender	ben̩ˈder
trocar	troˈkar
comerciante	komerˈθjan̩te, -a
mercado	merˈkaðo
tienda	ˈtjen̩da
almacén	
precio	ˈpreθjo
caro	ˈkaro
barato	baˈrato
repartir	rreparˈtir
distribuir	distriβuˈir
pesar	peˈsar
después	
atrás	
detrás	
al lado de	
abajo	aˈβaxo
bajo	ˈbaxo
debajo	deˈβaxo
delante	deˈlan̩te
antes de	
delantero	delan̩ˈtero
delante	deˈlan̩te
adentro	aˈðen̩tro
dentro	ˈden̩tro
afuera	aˈfwera
fuera	ˈfwera
exterior	esteˈrjor
debajo	deˈβaxo
arriba	aˈrriβa
encima	eṇˈθima
lugar	luˈɣar
sitio	ˈsitjo
poner	poˈner
sentar	sen̩ˈtar
acostarse	
echarse	
poner de pie	
quedar	keˈðar
permanecer	permaneˈθer
sobras	
recoger	rrekoˈxer
reunir	rreuˈnir
recoger	rrekoˈxer
amontonar	amon̩toˈnar
juntar	xun̩ˈtar
unir	uˈnir
separar	sepaˈrar
apartar	aparˈtar
dividir	diβiˈðir
abrir	aˈβrir
cerrar	θeˈrrar
cubrir	kuˈβrir
esconder	eskon̩ˈder
alto	ˈal̩to
elevado	eleˈβaðo, -a
bajo	ˈbaxo
cima	ˈθima
fondo	ˈfon̩do
final	fiˈnal
extremo	esˈtremo
puntiagudo	pun̩tjaˈɣuðo, -a
borde	ˈborðe
orilla	oˈriʎa
margen	ˈmarxen
lado	ˈlaðo
costado	kosˈtaðo
medio	ˈmeðjo
centro	ˈθen̩tro
derecha	deˈreʧa
izquierda	iθˈkjerða
próximo	
lejos	ˈlexos
este	ˈeste, ˈesta, ˈesto
levante	leˈβan̩te
oeste	oˈeste
poniente	poˈnjen̩te
norte	ˈnorte
sur	sur
crecer	kreˈθer
medir	meˈðir
braza	ˈbraθa
grande	ˈgran̩de
chico	ˈʧiko
pequeɲo	
largo	ˈlarɣo
alto	ˈal̩to
corto	ˈkorto
ancho	ˈanʧo
amplio	ˈampljo, -a
angosto	aŋˈgosto, -a
estrecho	esˈtreʧo
grueso	ˈgrweso
delgado	delˈɣaðo, -a
profundo	proˈfun̩do
hondo	ˈon̩do
bajo	ˈbaxo
poco profundo	
plano	ˈplano
derecho	deˈreʧo
recto	ˈrrekto
torcido	torˈθiðo
gancho	ˈganʧo
esquina	esˈkina
rincón	
cruz	kruθ
cuadrado	kwaˈðraðo
redondo	rreˈðon̩do
círculo	
pelota	peˈlota
esfera	esˈfera
globo	ˈgloβo
línea	
agujero	aɣuˈxero
semejante	semeˈxan̩te
parecido	pareˈθiðo
cambiar	kamˈbjar
mudar	muˈðar
cero	ˈθero
nada	ˈnaða
uno	ˈuno
dos	dos
tres	tres
cuatro	ˈkwatro
cinco	ˈθiŋko
seis	sei̯s
siete	ˈsjete
ocho	ˈoʧo
nueve	ˈnweβe
diez	djeθ
once	ˈoṇθe
doce	ˈdoθe
quince	ˈkiṇθe
veinte	ˈbei̯n̩te
ciento	ˈθjen̩to
cien	θjen
mil	mil
contar	kon̩ˈtar
cada	ˈkaða
todo	ˈtoðo
mucho	ˈmuʧo
más	
poco	ˈpoko
bastante	basˈtan̩te
suficiente	sufiˈθjen̩te
un poco	
algo	ˈalɣo
alguno	alˈɣuno, -a
multitud	
lleno	ˈʎeno
vacío	
pedazo	peˈðaθo
parte	ˈparte
mitad	
solo	ˈsolo
solamente	solaˈmen̩te
primero	priˈmero
último	
segundo	seˈɣun̩do
par	par
dos veces	
tercero	terˈθero
tres veces	
edad	
nuevo	ˈnweβo, -a
tierno	ˈtjerno, -a
joven	ˈxoβen
viejo	ˈbjexo, -a
a	a
temprano	temˈprano
tarde	ˈtarðe
ahora	aˈora
en seguida	
inmediatamente	i<span class="super">n</span>meðjataˈmen̩te/i<span class="super">m</span>meðjataˈmen̩te
rápido	
despacio	desˈpaθjo
lentamente	
apurarse	
darse prisa	
demorar	demoˈrar
retrasar	rretraˈsar
